"","Author","Year","Title","Journal","Volume","Issue","Pages"
"52807","Candolin, U., Engstroem-Oest, J. and Salesto, T.",2008,"Human-induced eutrophication enhances reproductive success through effects on parenting ability in sticklebacks","Oikos","117"," 3 ","459-465"
"64679","Janssen, M. A., Anderies, J. M. and Cardenas, J. C.",2011,"Head-enders as stationary bandits in asymmetric commons: Comparing irrigation experiments in the laboratory and the field","Ecological Economics","70"," 9 ","1590-1598"
"56161","Gunton, R. M. and Kunin, W. E.",2009,"Density-dependence at multiple scales in experimental and natural plant populations","Journal of Ecology","97"," 3 ","567-580"
"50876","Mumby, P. J., Broad, K., Brumbaugh, D. R., Dahlgren, C. P., Harborne, A. R., Hastings, A., Holmes, K. E., Kappel, C. V., Micheli, F. and Sanchirico, J. N.",2008,"Coral reef habitats as surrogates of species, ecological functions, and ecosystem services","Conservation Biology","22"," 4 ","941-951"
"41644","Wiens, J. D., Noon, B. R. and Reynolds, R. T.",2006,"Post-fledging survival of northern goshawks: The importance of prey abundance, weather, and dispersal","Ecological Applications","16","1","406-418"
"71849","Useche, P. and Blare, T.",2013,"Traditional vs. modern production systems: Price and nonmarket considerations of cacao producers in Northern Ecuador","Ecological Economics","93"," ","1-10"
"38295","Tomkins, J. L., Kotiaho, J. S. and LeBas, N. R.",2005,"Phenotypic plasticity in the developmental integration of morphological trade-offs and secondary sexual trait compensation","Proceedings of the Royal Society B-Biological Sciences","272","1562","543-551"
"63601","Oostindjer, M., Munoz, J. M., Van den Brand, H., Kemp, B. and Bolhuis, J. E.",2011,"Maternal presence and environmental enrichment affect food neophobia of piglets","Biology Letters","7"," 1 ","19-22"
"47872","Hayward, M. W., O'Brien, J. and Kerley, G. I. H.",2007,"Carrying capacity of large African predators: Predictions and tests","Biological Conservation","139"," 1-2 ","219-229"
"41939","Thuille, A. and Schulze, E. D.",2006,"Carbon dynamics in successional and afforested spruce stands in Thuringia and the Alps","Global Change Biology","12","2","325-342"
"49376","Zhang, S., Hou, S., Wu, Y. and Qin, D.",2008,"Bacteria in Himalayan glacial ice and its relationship to dust","Biogeosciences","5"," 6 ","1741-1750"
"63167","Rodewald, A. D., Kearns, L. J. and Shustack, D. P.",2011,"Anthropogenic resource subsidies decouple predator-prey relationships","Ecological Applications","21"," 3 ","936-943"
"62251","White, P. J., Garrott, R. A., Hamlin, K. L., Cook, R. C., Cook, J. G. and Cunningham, J. A.",2011,"Body condition and pregnancy in northern Yellowstone elk: Evidence for predation risk effects?","Ecological Applications","21"," 1 ","3-8"
"72832","Price, J. N. and Partel, M.",2013,"Can limiting similarity increase invasion resistance? A meta-analysis of experimental studies","Oikos","122"," 5 ","649-656"
"51881","Hawkes, C. V., Hartley, I. P., Ineson, P. and Fitter, A. H.",2008,"Soil temperature affects carbon allocation within arbuscular mycorrhizal networks and carbon transport from plant to fungus","Global Change Biology","14"," 5 ","1181-1190"
"62996","Schlaepfer, M. A., Sax, D. F. and Olden, J. D.",2011,"The Potential Conservation Value of Non-Native Species","Conservation Biology","25"," 3 ","428-437"
"37269","Critchley, C. N. R., Burke, M. J. W. and Stevens, D. P.",2004,"Conservation of lowland semi-natural grasslands in the UK: a review of botanical monitoring results from agri-environment schemes","Biological Conservation","115","2","263-278"
"39222","Norris, D. R.",2005,"Carry-over effects and habitat quality in migratory populations","Oikos","109","1","178-186"
"73206","Nelson, J. A., Stallings, C. D., Landing, W. M. and Chanton, J.",2013,"Biomass Transfer Subsidizes Nitrogen to Offshore Food Webs","Ecosystems","16"," 6 ","1130-1138"
"40980","Chabi-Olaye, A., Nolte, C., Schulthess, F. and Borgemeister, C.",2005,"Effects of grain legumes and cover crops on maize yield and plant damage by Busseola fusca (Fuller) (Lepidoptera : Noctuidae) in the humid forest of southern Cameroon","Agriculture Ecosystems & Environment","108","1","17-28"
"43487","Lambert, W.",2006,"Functional convergence of ecosystems: Evidence from body mass distributions of North American late Miocene mammal faunas","Ecosystems","9","1","97-118"
