"","Author","Year","Title","Journal","Volume","Issue","Pages"
"78357","Davies, N., Gramotnev, G., Seabrook, L., McAlpine, C., Baxter, G., Lunney, D. and Bradley, A.",2014,"Climate-driven changes in diet composition and physiological stress in an arboreal folivore at the semi-arid edge of its distribution","Biological Conservation","172"," ","80-88"
"69946","Galbreath, K. E. and Hoberg, E. P.",2012,"Return to Beringia: parasites reveal cryptic biogeographic history of North American pikas","Proceedings of the Royal Society B-Biological Sciences","279"," 1727 ","371-378"
"36648","Heegaard, E.",2004,"Trends in aquatic macrophyte species turnover in Northern Ireland - which factors determine the spatial distribution of local species turnover?","Global Ecology and Biogeography","13","5","397-408"
"65742","de Silva, S., Ranjeewa, A. D. G. and Weerakoon, D.",2011,"Demography of Asian elephants (Elephas maximus) at Uda Walawe National Park, Sri Lanka based on identified individuals","Biological Conservation","144"," 5 ","1742-1752"
"55093","Menge, D. N. L., Pacala, S. W. and Hedin, L. O.",2009,"Emergence and Maintenance of Nutrient Limitation over Multiple Timescales in Terrestrial Ecosystems","American Naturalist","173"," 2 ","164-175"
"39711","Le Galliard, J. F., Ferriere, R. and Dieckmann, U.",2005,"Adaptive evolution of social traits: Origin, trajectories, and correlations of altruism and mobility","American Naturalist","165","2","206-224"
"58930","Price, J. N., Wright, B. R., Gross, C. L. and Whalley, W. R. D. B.",2010,"Comparison of seedling emergence and seed extraction techniques for estimating the composition of soil seed banks","Methods in Ecology and Evolution","1"," 2 ","151-157"
"36138","Loik, M. E., Breshears, D. D., Lauenroth, W. K. and Belnap, J.",2004,"A multi-scale perspective of water pulses in dryland ecosystems: climatology and ecohydrology of the western USA","Oecologia","141","2","269-281"
"50456","Rasmussen, H. B., Okello, J. B. A., Wittemyer, G., Siegismund, H. R., Arctander, P., Vollrath, F. and Douglas-Hamilton, I.",2008,"Age- and tactic-related paternity success in male African elephants","Behavioral Ecology","19"," 1 ","9-15"
"71160","Bai, M. L., Severinghaus, L. L. and Philippart, M. T.",2012,"Mechanisms underlying small-scale partial migration of a subtropical owl","Behavioral Ecology","23"," 1 ","153-159"
"44892","Buisson, E., Dutoit, T., Torre, F., Romermann, C. and Poschlod, P.",2006,"The implications of seed rain and seed bank patterns for plant succession at the edges of abandoned fields in Mediterranean landscapes","Agriculture Ecosystems & Environment","115"," 1-4 ","Jun-14"
"78419","Connallon, T. and Clark, A. G.",2014,"Evolutionary inevitability of sexual antagonism","Proceedings of the Royal Society B-Biological Sciences","281"," 1776 ",""
"50403","Ricketts, T. H., Regetz, J., Steffan-Dewenter, I., Cunningham, S. A., Kremen, C., Bogdanski, A., Gemmill-Herren, B., Greenleaf, S. S., Klein, A. M., Mayfield, M. M., Morandin, L. A., Ochieng, A., Potts, S. G. and Viana, B. F.",2008,"Landscape effects on crop pollination services: are there general patterns? (vol 11, pg 499, 2008)","Ecology Letters","11"," 10 ","1121-1121"
"57073","Calvignac, S., Hughes, S. and Hanni, C.",2009,"Genetic diversity of endangered brown bear (Ursus arctos) populations at the crossroads of Europe, Asia and Africa","Diversity and Distributions","15"," 5 ","742-750"
