"","Author","Year","Title","Journal","Volume","Issue","Pages"
"39582","Mac Nally, R.",2005,"Ecological boundary detection using Carlin-Chib Bayesian model selection","Diversity and Distributions","11","6","499-508"
"68237","Olson, Z. H., Beasley, J. C., DeVault, T. L. and Rhodes, O. E.",2012,"Scavenger community response to the removal of a dominant scavenger","Oikos","121"," 1 ","77-84"
"73918","Lass, K., Bange, H. W. and Friedrichs, G.",2013,"Seasonal signatures in SFG vibrational spectra of the sea surface nanolayer at Boknis Eck Time Series Station (SW Baltic Sea)","Biogeosciences","10"," 8 ","5325-5334"
"78575","Browning, T. J., Bouman, H. A., Moore, C. M., Schlosser, C., Tarran, G. A., Woodward, E. M. S. and Henderson, G. M.",2014,"Nutrient regimes control phytoplankton ecophysiology in the South Atlantic","Biogeosciences","11"," 2 ","463-479"
"39116","Parker, G. A. and Ball, M. A.",2005,"Sperm competition, mating rate and the evolution of testis and ejaculate sizes: a population model","Biology Letters","1","2","235-238"
"42344","Saino, N., Ferrari, R. P., Romano, M., Martinelli, R., Lacroix, A., Gil, D. and Moller, A. P.",2006,"Maternal allocation of androgens and antagonistic effects of yolk androgens on sons and daughters","Behavioral Ecology","17","2","172-181"
"57252","Bohrerova, Z., Bohrer, G., Cho, K. D., Bolch, M. A. and Linden, K. G.",2009,"Determining the viability response of pine pollen to atmospheric conditions during long-distance dispersal","Ecological Applications","19"," 3 ","656-667"
"58622","Schafer, K. V. R., Clark, K. L., Skowronski, N. and Hamerlynck, E. P.",2010,"Impact of insect defoliation on forest carbon balance as assessed with a canopy assimilation model","Global Change Biology","16"," 2 ","546-560"
"74357","Humphries, N. E., Weimerskirch, H. and Sims, D. W.",2013,"A new approach for objective identification of turns and steps in organism movement data relevant to random walk modelling","Methods in Ecology and Evolution","4"," 10 ","930-938"
"41357","Bach, C. E., Kelly, D. and Hazlett, B. A.",2005,"Forest edges benefit adults, but not seedlings, of the mistletoe Alepis flavida (Loranthaceae)","Journal of Ecology","93","1","79-86"
"47732","Houston, A. I., Stevens, M. and Cuthill, I. C.",2007,"Animal camouflage: compromise or specialize in a 2 patch-type environment?","Behavioral Ecology","18"," 4 ","769-775"
"69465","Huang, C. Y. and Anderegg, W. R. L.",2012,"Large drought-induced aboveground live biomass losses in southern Rocky Mountain aspen forests","Global Change Biology","18"," 3 ","1016-1027"
"74485","Hermoso, V., Januchowski-Hartley, S. R. and Pressey, R. L.",2013,"When the suit does not fit biodiversity: Loose surrogates compromise the achievement of conservation goals","Biological Conservation","159"," ","197-205"
"40390","Gazeau, F., Duarte, C. M., Gattuso, J. P., Barron, C., Navarro, N., Ruiz, S., Prairie, Y. T., Calleja, M., Delille, B., Frankignoulle, M. and Borges, A. V.",2005,"Whole-system metabolism and CO2 fluxes in a Mediterranean Bay dominated by seagrass beds (Palma Bay, NW Mediterranean)","Biogeosciences","2","1","43-60"
